Ano,Cidade,Pais,Tipo
1900,Paris,França,Verão
1904,St. Louis,Estados Unidos,Verão
1908,Londres,Reino Unido,Verão
1912,Estocolmo,Suécia,Verão
1920,Antuérpia,Bélgica,Verão
1924,Paris,França,Verão
1928,Amsterdã,Holanda,Verão
1932,Los Angeles,Estados Unidos,Verão
1936,Berlim,Alemanha,Verão
1948,Londres,Reino Unido,Verão
1952,Helsinque,Finlândia,Verão
1956,Melbourne,Austrália,Verão
1960,Roma,Itália,Verão
1964,Tóquio,Japão,Verão
1968,Cidade do México,México,Verão
1972,Munique,Alemanha Ocidental,Verão
1976,Montreal,Canadá,Verão
1980,Moscou,União Soviética,Verão
1984,Los Angeles,Estados Unidos,Verão
1988,Seul,Coreia do Sul,Verão
1992,Barcelona,Espanha,Verão
1996,Atlanta,Estados Unidos,Verão
2000,Sydney,Austrália,Verão
2004,Atenas,Grécia,Verão
2008,Pequim,China,Verão
2012,Londres,Reino Unido,Verão
2016,Rio de Janeiro,Brasil,Verão
2020,Tóquio,Japão,Verão
2024,Paris,França,Verão
1924,Chamonix,França,Inverno
1928,St. Moritz,Suíça,Inverno
1932,Lake Placid,Estados Unidos,Inverno
1936,Garmisch-Partenkirchen,Alemanha,Inverno
1948,St. Moritz,Suíça,Inverno
1952,Oslo,Noruega,Inverno
1956,Cortina d'Ampezzo,Itália,Inverno
1960,Squaw Valley,Estados Unidos,Inverno
1964,Innsbruck,Áustria,Inverno
1968,Grenoble,França,Inverno
1972,Sapporo,Japão,Inverno
1976,Innsbruck,Áustria,Inverno
1980,Lake Placid,Estados Unidos,Inverno
1984,Sarajevo,Iugoslávia,Inverno
1988,Calgary,Canadá,Inverno
1992,Albertville,França,Inverno
1994,Lillehammer,Noruega,Inverno
1998,Nagano,Japão,Inverno
2002,Salt Lake City,Estados Unidos,Inverno
2006,Turim,Itália,Inverno
2010,Vancouver,Canadá,Inverno
2014,Sochi,Rússia,Inverno
2018,PyeongChang,Coreia do Sul,Inverno
2022,Pequim,China,Inverno

